"Flight Number,Date,From,To,Aircraft,Flight time,STD,ATD,STA,ATA,Dep_Delay,Arr_Delay,STD_hour,weekday,delay,takeoff_hour,landing_hour,takeoff_delay,landing_delay,STA_hour,DayOfWeek,Route,ScheduledHour,Weekday,AircraftEncoded,RouteEncoded,DepartureDelay"
",2025-07-23,Mumbai (BOM),Chennai (MAA),A20N (VT-TQJ),1:35,1900-01-01 09:00:00,1900-01-01 09:20:00,1900-01-01 11:00:00,1900-01-01 10:55:00,20.0,-5.0,9.0,Wednesday,-5.0,9.0,11.0,20.0,-5.0,11.0,2.0,Mumbai (BOM)-Chennai (MAA),9,2,79,8,20.0"
",2025-07-22,Mumbai (BOM),Chennai (MAA),A20N (VT-TNF),1:37,1900-01-01 09:00:00,1900-01-01 09:17:00,1900-01-01 11:00:00,1900-01-01 10:54:00,17.0,-6.0,9.0,Tuesday,-6.0,9.0,11.0,17.0,-6.0,11.0,1.0,Mumbai (BOM)-Chennai (MAA),9,1,61,8,17.0"
",2025-07-20,Mumbai (BOM),Chennai (MAA),A20N (VT-TNP),1:33,1900-01-01 09:00:00,1900-01-01 09:17:00,1900-01-01 11:00:00,1900-01-01 10:49:00,17.0,-11.0,9.0,Sunday,-11.0,9.0,11.0,17.0,-11.0,11.0,6.0,Mumbai (BOM)-Chennai (MAA),9,6,65,8,17.0"
",2025-07-19,Mumbai (BOM),Chennai (MAA),A20N (VT-TNZ),1:34,1900-01-01 09:00:00,1900-01-01 09:08:00,1900-01-01 11:00:00,1900-01-01 10:41:00,8.0,-19.0,9.0,Saturday,-19.0,9.0,11.0,8.0,-19.0,11.0,5.0,Mumbai (BOM)-Chennai (MAA),9,5,72,8,8.0"
",2025-07-25,Mumbai (BOM),Cochin (COK),B38M (VT-YAB),1:36,1900-01-01 09:10:00,1900-01-01 09:41:00,1900-01-01 11:15:00,1900-01-01 11:17:00,31.0,2.0,9.0,Friday,2.0,9.0,11.0,31.0,2.0,11.0,4.0,Mumbai (BOM)-Cochin (COK),9,4,175,9,31.0"
" ,2025-07-24,Mumbai (BOM),Cochin (COK),B38M (VT-YAP),1:33,1900-01-01 09:10:00,1900-01-01 09:21:00,1900-01-01 11:15:00,1900-01-01 10:54:00,11.0,-21.0,9.0,Thursday,-21.0,9.0,11.0,11.0,-21.0,11.0,3.0,Mumbai (BOM)-Cochin (COK),9,3,182,9,11.0"
" ,2025-07-23,Mumbai (BOM),Cochin (COK),B38M (VT-YAR),1:35,1900-01-01 09:10:00,1900-01-01 09:54:00,1900-01-01 11:15:00,1900-01-01 11:29:00,44.0,14.0,9.0,Wednesday,14.0,9.0,11.0,44.0,14.0,11.0,2.0,Mumbai (BOM)-Cochin (COK),9,2,183,9,44.0"
" ,2025-07-22,Mumbai (BOM),Cochin (COK),B38M (VT-YBB),1:31,1900-01-01 09:10:00,1900-01-01 11:52:00,1900-01-01 11:15:00,1900-01-01 13:23:00,162.0,128.0,9.0,Tuesday,128.0,9.0,11.0,162.0,128.0,11.0,1.0,Mumbai (BOM)-Cochin (COK),9,1,186,9,162.0"
" ,2025-07-21,Mumbai (BOM),Cochin (COK),B38M (VT-YAF),1:33,1900-01-01 09:10:00,1900-01-01 15:00:00,1900-01-01 11:15:00,1900-01-01 16:33:00,350.0,318.0,9.0,Monday,318.0,9.0,11.0,350.0,318.0,11.0,0.0,Mumbai (BOM)-Cochin (COK),9,0,177,9,350.0"
" ,2025-07-20,Mumbai (BOM),Cochin (COK),B38M (VT-YAL),1:37,1900-01-01 08:50:00,1900-01-01 08:59:00,1900-01-01 10:55:00,1900-01-01 10:36:00,9.0,-19.0,8.0,Sunday,-19.0,8.0,10.0,9.0,-19.0,10.0,6.0,Mumbai (BOM)-Cochin (COK),8,6,181,9,9.0"
" ,2025-07-19,Mumbai (BOM),Cochin (COK),B38M (VT-YAH),1:31,1900-01-01 09:10:00,1900-01-01 09:22:00,1900-01-01 11:15:00,1900-01-01 10:54:00,12.0,-21.0,9.0,Saturday,-21.0,9.0,11.0,12.0,-21.0,11.0,5.0,Mumbai (BOM)-Cochin (COK),9,5,179,9,12.0"
",2025-07-25,Mumbai (BOM),Jodhpur (JDH),A319 (VT-SCV),1:19,1900-01-01 09:15:00,1900-01-01 09:36:00,1900-01-01 11:05:00,1900-01-01 10:54:00,21.0,-11.0,9.0,Friday,-11.0,9.0,11.0,21.0,-11.0,11.0,4.0,Mumbai (BOM)-Jodhpur (JDH),9,4,153,28,21.0"
" ,2025-07-24,Mumbai (BOM),Jodhpur (JDH),A319 (VT-SCF),1:17,1900-01-01 09:15:00,1900-01-01 09:44:00,1900-01-01 11:05:00,1900-01-01 11:01:00,29.0,-4.0,9.0,Thursday,-4.0,9.0,11.0,29.0,-4.0,11.0,3.0,Mumbai (BOM)-Jodhpur (JDH),9,3,152,28,29.0"
" ,2025-07-23,Mumbai (BOM),Jodhpur (JDH),A319 (VT-SCV),1:22,1900-01-01 09:15:00,1900-01-01 10:02:00,1900-01-01 11:05:00,1900-01-01 11:24:00,47.0,19.0,9.0,Wednesday,19.0,9.0,11.0,47.0,19.0,11.0,2.0,Mumbai (BOM)-Jodhpur (JDH),9,2,153,28,47.0"
" ,2025-07-22,Mumbai (BOM),Jodhpur (JDH),A319 (VT-SCF),1:20,1900-01-01 09:15:00,1900-01-01 09:27:00,1900-01-01 11:05:00,1900-01-01 10:47:00,12.0,-18.0,9.0,Tuesday,-18.0,9.0,11.0,12.0,-18.0,11.0,1.0,Mumbai (BOM)-Jodhpur (JDH),9,1,152,28,12.0"
